CPS_Aspect,CPS_Concern,CPS_Concern,CPS_Concern,CPS_Concern,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Trustworthiness,Security,PhysicalSecurity,Stability,,4,1,1,1,True,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Stability,Functional_Stability,5,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Safety,,,,2,1,1,4,True,Trustworthiness
Trustworthiness,Safety,Human_Safety,,,3,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Safety,,,,2,1,1,4,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,1,1,3,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,1,1,3,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Controllability,5,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Privacy,,,,2,1,1,3,False,Trustworthiness
Trustworthiness,Privacy,Predictability,,,3,1,1,1,False,Trustworthiness
Trustworthiness,Privacy,Predictability,Controls,,4,1,1,1,False,Trustworthiness
Trustworthiness,Privacy,Predictability,Controls,Authorization,5,1,1,1,False,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,1,1,4,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Availability,,4,1,1,1,True,Trustworthiness
Boundaries,,,,,1,203,203,3,True,Boundaries
Boundaries,Behavioral,,,,2,203,203,1,True,Boundaries
Boundaries,,,,,1,203,203,3,True,Boundaries
Boundaries,Responsibility,,,,2,203,203,1,True,Boundaries
Boundaries,,,,,1,203,203,3,True,Boundaries
Boundaries,Networkability,,,,2,203,203,1,True,Boundaries
Business,,,,,1,203,203,9,True,Business
Business,Cost,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Environment,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Planning,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,TimeToMarket,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Quality,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Enterprise,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Policy,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Utility,,,,2,203,203,1,True,Business
Business,,,,,1,203,203,9,True,Business
Business,Regulatory,,,,2,203,203,1,True,Business
Composition,,,,,1,203,203,4,True,Composition
Composition,Discoverability,,,,2,203,203,1,True,Composition
Composition,,,,,1,203,203,4,True,Composition
Composition,Complexity,,,,2,203,203,1,True,Composition
Composition,,,,,1,203,203,4,True,Composition
Composition,Adaptability,,,,2,203,203,1,True,Composition
Composition,,,,,1,203,203,4,True,Composition
Composition,Constructivity,,,,2,203,203,1,True,Composition
Data,,,,,1,203,203,26,False,Data
Data,OperationsOnData,,,,2,203,203,5,True,Data
Data,OperationsOnData,Analytics,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,True,Data
Data,Identity,ResourceIdentification,DeviceIdentification,,4,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
Data,RelationshipBetweenData,RelatedData,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,DataSemantics,,,,2,203,203,3,True,Data
Data,DataSemantics,Meaning,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,Authentication,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
Data,RelationshipBetweenData,DataQuality,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
Data,RelationshipBetweenData,TimeOfData,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,Configuration,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,OperationsOnData,,,,2,203,203,5,True,Data
Data,OperationsOnData,Aggregation_Disaggregation,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,Provenance,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
Data,RelationshipBetweenData,LocationOfData,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
